TITLE SKILL
Director Strategy & Projects, Adidas, MBA Top 100 2016	Projektmanagement
VP Global Digital Sales & Digital Engineering	Leadership
VP Global Digital Sales & Digital Engineering	Strategy
VP Global Digital Sales & Digital Engineering	Retail
Senior Vice President Global Human Resources	Human Resources
Senior Vice President Global Human Resources	Training
Senior Vice President Global Human Resources	Performance Management
Senior Director Digital Transformation Office at adidas	Organizational Development
Senior Director Digital Transformation Office at adidas	Change Management
Senior Director Digital Transformation Office at adidas	Leadership
CIO at Evonik	Geschäftsführung
CIO at Evonik	Geschäftsprozesse
CIO at Evonik	Simply Accounting
SVP Human Resources at adidas	Change Management
SVP Human Resources at adidas	Strategic Planning
SVP Human Resources at adidas	Coaching
Senior Vice President Market Strategy & Business Development, Market Europe at adidas	Brand Management
Senior Vice President Market Strategy & Business Development, Market Europe at adidas	Marketing Strategy
Senior Vice President Market Strategy & Business Development, Market Europe at adidas	Sporting Goods
Global HR Leader	Recruiting
Global HR Leader	Employee Relations
Global HR Leader	Performance Management
Member Of The Management Board at Evonik Nutrition & Care GmbH	Market Development
Member Of The Management Board at Evonik Nutrition & Care GmbH	Cross-functional Team Leadership
Member Of The Management Board at Evonik Nutrition & Care GmbH	Product Development
CIO / Vice President Information Technology	IT-Strategie
CIO / Vice President Information Technology	Telekommunikation
CIO / Vice President Information Technology	ITIL
Global Feedback Expert bei Evonik	Organisationsentwicklung
Global Feedback Expert bei Evonik	Sourcing
Global Feedback Expert bei Evonik	Microsoft Office
CIO	Outsourcing
CIO	Veränderungsmanagement
CIO	Strategisches Management
Vorstand Digitalisierung und Technik Deutsche Bahn	Artificial Intelligence
Vorstand Digitalisierung und Technik Deutsche Bahn	Computer Science
Vorstand Digitalisierung und Technik Deutsche Bahn	LaTeX
Director Brand Communications Originals - Europe bei adidas	Marketingstrategie
Director Brand Communications Originals - Europe bei adidas	Marketingkommunikation
Director Brand Communications Originals - Europe bei adidas	Social Media Marketing
GENERAL MANAGER - CMO	Sponsorship
GENERAL MANAGER - CMO	Marketing Strategy
GENERAL MANAGER - CMO	Marketing Communications
Manager HR - BU Outdoor at adidas	Foreign Languages
Manager HR - BU Outdoor at adidas	Organization Skills
Manager HR - BU Outdoor at adidas	Human Resources
Director HR at adidas	Human Resources
Director HR at adidas	HR Business Partner
Director HR at adidas	Talent Management
Dean School of Marketing bei Evonik	Business Development
Dean School of Marketing bei Evonik	Marketing
Dean School of Marketing bei Evonik	Marketingstrategie
Vice President bei Evonik	Produktentwicklung
Vice President bei Evonik	Strategische Planung
Vice President bei Evonik	Geschäftsführung
HR Special Sourcing bei Evonik - #HumanChemistry	Unternehmensberatung
HR Special Sourcing bei Evonik - #HumanChemistry	Unternehmensführung
HR Special Sourcing bei Evonik - #HumanChemistry	Personalbeschaffung
Evonik Vietnam LLC - New Business Development at Evonik	Corporate Branding
Evonik Vietnam LLC - New Business Development at Evonik	Employer Branding
Evonik Vietnam LLC - New Business Development at Evonik	International Sales & Marketing
China Sales Manager at Eaton Vehicle Group China Truck	Commercial Vehicle
Manager and Engineer	Automobilindustrie
Manager and Engineer	Projektmanagement
Manager and Engineer	Fertigung
Manager and Engineer	Continuous Improvement
Manager and Engineer	Lean Production
Manager and Engineer	Six Sigma
Manager and Engineer	Kaizen
Manager and Engineer	FMEA
Manager and Engineer	Agilität
Manager and Engineer	Supply-Chain-Management
Manager and Engineer	Strategie
Manager and Engineer	Einkauf
Manager and Engineer	Qualitätsmanagementsystem
Manager and Engineer	Kontinuierliche Verbesserung
Manager and Engineer	Schlanke Produktion
Manager and Engineer	Unternehmensführung
Manager and Engineer	Unternehmensstrategie
China Sales Manager at Eaton Vehicle Group China Truck	Commercial Vehicle
